Ticker,ISIN,LONG_COMP_NAME,CRNCY,PX_LAST
DBK GR Equity,DE0005140008,Deutsche Bank AG,EUR,14.394
DSM NA Equity,NL0000009827,Koninklijke DSM NV,EUR,159.05
ITX SM Equity,ES0148396007,Industria de Diseno Textil SA,EUR,25.44
EQNR NO Equity,NO0010096985,Equinor ASA,NOK,256.7
AMS SM Equity,ES0109067019,Amadeus IT Group SA,EUR,60.46
SREN SW Equity,CH0126881561,Swiss Re AG,CHF,100.25
HOLN SW Equity,CH0012214059,Holcim Ltd,CHF,50.74
PGHN SW Equity,CH0024608827,Partners Group Holding AG,CHF,1247.5
GIVN SW Equity,CH0010645932,Givaudan SA,CHF,3577
LSEG LN Equity,GB00B0SWJX34,London Stock Exchange Group PLC,GBp,6962
NOKIA FH Equity,FI0009000681,Nokia Oyj,EUR,5.024
PHIA NA Equity,NL0000009538,Koninklijke Philips NV,EUR,29.94
TSCO LN Equity,GB00BLGZ9862,Tesco PLC,GBp,291.55
AHT LN Equity,GB0000536739,Ashtead Group PLC,GBp,4952
ENGI FP Equity,FR0010208488,Engie SA,EUR,14.264
EOAN GR Equity,DE000ENAG999,E.ON SE,EUR,12.268
STM IM Equity,NL0000226223,STMicroelectronics NV,EUR,38.86
HEXAB SS Equity,SE0015961909,Hexagon AB,SEK,125.7
ASSAB SS Equity,SE0007100581,Assa Abloy AB,SEK,267.6
ML FP Equity,FR0000121261,Cie Generale des Etablissements Michelin SCA,EUR,148.45
RWE GR Equity,DE0007037129,RWE AG,EUR,36.91
SAND SS Equity,SE0000667891,Sandvik AB,SEK,233.8
MRK GR Equity,DE0006599905,Merck KGaA,EUR,182.8
LR FP Equity,FR0010307819,Legrand SA,EUR,89.76
KNEBV FH Equity,FI0009013403,Kone Oyj,EUR,58.06
TEF SM Equity,ES0178430E18,Telefonica SA,EUR,4.2985
RACE US Equity,NL0011585146,Ferrari NV,USD,222.36
WKL NA Equity,NL0000395903,Wolters Kluwer NV,EUR,87.54
FLTR ID Equity,IE00BWT6H894,Flutter Entertainment PLC,EUR,128.55
HEIA NA Equity,NL0000009165,Heineken NV,EUR,94.28
SAMPO FH Equity,FI0009003305,Sampo Oyj,EUR,43.95
VWS DC Equity,DK0061539921,Vestas Wind Systems A/S,DKK,160.5
ORA FP Equity,FR0000133308,Orange SA,EUR,10.796
G IM Equity,IT0000062072,Assicurazioni Generali SpA,EUR,18.35
BA/ LN Equity,GB0002634946,BAE Systems PLC,GBp,587
EQT SS Equity,SE0012853455,EQT AB,SEK,328.8
CLNX SM Equity,ES0105066007,Cellnex Telecom SA,EUR,38.66
EVO SS Equity,SE0012673267,Evolution AB,SEK,1089
VIE FP Equity,FR0000124141,Veolia Environnement SA,EUR,32.48
LGEN LN Equity,GB0005603997,Legal & General Group PLC,GBp,289.5
GEBN SW Equity,CH0030170408,Geberit AG,CHF,591.8
GMAB DC Equity,DK0010272202,Genmab A/S,DKK,2213
AV/ LN Equity,GB0002162385,Aviva PLC,GBp,445.1
IMB LN Equity,GB0004544929,Imperial Brands PLC,GBp,1784.5
SSE LN Equity,GB0007908733,SSE PLC,GBp,1549.5
KBC BB Equity,BE0003565737,KBC Group NV,EUR,80.3
DNB NO Equity,NO0010161896,DNB Bank ASA,NOK,216.3
CSGN SW Equity,CH0012138530,Credit Suisse Group AG,CHF,9.11
ACA FP Equity,FR0000045072,Credit Agricole SA,EUR,13.948
SEBA SS Equity,SE0000148884,Skandinaviska Enskilda Banken AB,SEK,122.25
TEP FP Equity,FR0000051807,Teleperformance,EUR,319.5
MT NA Equity,LU1598757687,ArcelorMittal SA,EUR,29.275
SLHN SW Equity,CH0014852781,Swiss Life Holding AG,CHF,610.8
REP SM Equity,ES0173516115,Repsol SA,EUR,11.502
UPM FH Equity,FI0009005987,UPM-Kymmene Oyj,EUR,33.12
BT/A LN Equity,GB0030913577,BT Group PLC,GBp,197.7
SGRO LN Equity,GB00B5ZN1N88,Segro PLC,GBp,1265.5
ORSTED DC Equity,DK0060094928,Orsted AS,DKK,660.6
MAERSKB DC Equity,DK0010244508,AP Moller - Maersk A/S,DKK,21830
AKZA NA Equity,NL0013267909,Akzo Nobel NV,EUR,88.6
STAN LN Equity,GB0004082847,Standard Chartered PLC,GBp,571.4
NESTE FH Equity,FI0009013296,Neste Oyj,EUR,38.64
KYGA ID Equity,IE0004906560,Kerry Group PLC,EUR,106.5
SOON SW Equity,CH0012549785,Sonova Holding AG,CHF,314.2
NN NA Equity,NL0010773842,NN Group NV,EUR,51.98
WPP LN Equity,JE00B8KF9B49,WPP PLC,GBp,1183
UMG NA Equity,NL0015000IY2,Universal Music Group NV,EUR,21.46
NWG LN Equity,GB00B7T77214,NatWest Group PLC,GBp,249
SHL GR Equity,DE000SHL1006,Siemens Healthineers AG,EUR,56.52
III LN Equity,GB00B1YW4409,3i Group PLC,GBp,1341
STMN SW Equity,CH0012280076,Straumann Holding AG,CHF,1368.5
FRE GR Equity,DE0005785604,Fresenius SE & Co KGaA,EUR,37.235
COLOB DC Equity,DK0060448595,Coloplast A/S,DKK,937
SWEDA SS Equity,SE0000242455,Swedbank AB,SEK,170.24
ZAL GR Equity,DE000ZAL1111,Zalando SE,EUR,63.5
ESSITYB SS Equity,SE0009922164,Essity AB,SEK,262.5
SGSN SW Equity,CH0002497458,SGS SA,CHF,2611
CARLB DC Equity,DK0010181759,Carlsberg AS,DKK,1073.5
SHBA SS Equity,SE0007100599,Svenska Handelsbanken AB,SEK,101.55
PUB FP Equity,FR0000130577,Publicis Groupe SA,EUR,63.54
CABK SM Equity,ES0140609019,CaixaBank SA,EUR,3.38
SY1 GR Equity,DE000SYM9999,Symrise AG,EUR,102.2
KNIN SW Equity,CH0025238863,Kuehne + Nagel International AG,CHF,252.4
ASM NA Equity,NL0000334118,ASM International NV,EUR,284
DTG GR Equity,DE000DTR0CK8,Daimler Truck Holding AG,EUR,32.375
SCMN SW Equity,CH0008742519,Swisscom AG,CHF,543
KSP ID Equity,IE0004927939,Kingspan Group PLC,EUR,82.78
CNHI US Equity,NL0010545661,CNH Industrial NV,USD,14.98
HEN3 GR Equity,DE0006048432,Henkel AG & Co KGaA,EUR,73
CRDA LN Equity,GB00BJFFLV09,Croda International PLC,GBp,7386
EBS AV Equity,AT0000652011,Erste Group Bank AG,EUR,43.89
FER SM Equity,ES0118900010,Ferrovial SA,EUR,23.97
MONC IM Equity,IT0004965148,Moncler SpA,EUR,56.5
SN/ LN Equity,GB0009223206,Smith & Nephew PLC,GBp,1206
ARGX BB Equity,NL0010832176,Argenx SE,EUR,245.8
EDP PL Equity,PTEDP0AM0009,EDP - Energias de Portugal SA,EUR,4.25
BAER SW Equity,CH0102484968,Julius Baer Group Ltd,CHF,58.02
SKG ID Equity,IE00B1RR8406,Smurfit Kappa Group PLC,EUR,46.77
PAH3 GR Equity,DE000PAH0038,Porsche Automobil Holding SE,EUR,78.26
DANSKE DC Equity,DK0010274414,Danske Bank A/S,DKK,131.25
LOGN SW Equity,CH0025751329,Logitech International SA,CHF,71.72
ERF FP Equity,FR0014000MR3,Eurofins Scientific SE,EUR,87.94
FME GR Equity,DE0005785802,Fresenius Medical Care AG & Co KGaA,EUR,59.92
EPIA SS Equity,SE0015658109,Epiroc AB,SEK,195.45
NIBEB SS Equity,SE0015988019,Nibe Industrier AB,SEK,86.28
BNR GR Equity,DE000A1DAHH0,Brenntag SE,EUR,75.22
NZYMB DC Equity,DK0060336014,Novozymes A/S,DKK,396.3
HMB SS Equity,SE0000106270,H & M Hennes & Mauritz AB,SEK,174.3
DHER GR Equity,DE000A2E4K43,Delivery Hero SE,EUR,66.02
RR/ LN Equity,GB00B63H8491,Rolls-Royce Holdings PLC,GBp,117.22
STERV FH Equity,FI0009005961,Stora Enso Oyj,EUR,18.62
NXT LN Equity,GB0032089863,Next PLC,GBp,7122
SRT3 GR Equity,DE0007165631,Sartorius AG,EUR,437
UCB BB Equity,BE0003739530,UCB SA,EUR,87.16
RTO LN Equity,GB00B082RF11,Rentokil Initial PLC,GBp,511.4
SPX LN Equity,GB00BWFGQN14,Spirax-Sarco Engineering PLC,GBp,12535
ENT LN Equity,IM00B5VQMV65,Entain PLC,GBp,1590
IHG LN Equity,GB00BHJYC057,InterContinental Hotels Group PLC,GBp,4966
SWMA SS Equity,SE0015812219,Swedish Match AB,SEK,73.58
HLMA LN Equity,GB0004052071,Halma PLC,GBp,2388
BNZL LN Equity,GB00B0744B38,Bunzl PLC,GBp,2704
FORTUM FH Equity,FI0009007132,Fortum Oyj,EUR,24.83
AENA SM Equity,ES0105046009,Aena SME SA,EUR,146.5
LISN SW Equity,CH0010570759,Chocoladefabriken Lindt & Spruengli AG,CHF,102600
CA FP Equity,FR0000120172,Carrefour SA,EUR,17.045
BOL SS Equity,SE0015811559,Boliden AB,SEK,396.9
NHY NO Equity,NO0005052605,Norsk Hydro ASA,NOK,76.38
MOWI NO Equity,NO0003054108,Mowi ASA,NOK,230.5
1COV GR Equity,DE0006062144,Covestro AG,EUR,54.22
ITRK LN Equity,GB0031638363,Intertek Group PLC,GBp,5250
AGN NA Equity,NL0000303709,Aegon NV,EUR,5.382
WLN FP Equity,FR0011981968,Worldline SA/France,EUR,42.48
QGEN US Equity,NL0012169213,QIAGEN NV,USD,49
HNR1 GR Equity,DE0008402215,Hannover Rueck SE,EUR,169.95
KPN NA Equity,NL0000009082,Koninklijke KPN NV,EUR,3.016
MTX GR Equity,DE000A0D9PT0,MTU Aero Engines AG,EUR,188
MNDI LN Equity,GB00B1CRLC47,Mondi PLC,GBp,1859.5
INF LN Equity,GB00BMJ6DW54,Informa PLC,GBp,559.6
STJ LN Equity,GB0007669376,St James's Place PLC,GBp,1544.5
SRG IM Equity,IT0003153415,Snam SpA,EUR,4.641
ADM LN Equity,GB00B02J6398,Admiral Group PLC,GBp,2955
HEI GR Equity,DE0006047004,HeidelbergCement AG,EUR,65.84
HFG GR Equity,DE000A161408,HelloFresh SE,EUR,53.46
EN FP Equity,FR0000120503,Bouygues SA,EUR,32.01
OCDO LN Equity,GB00B3MBS747,Ocado Group PLC,GBp,1202.5
DIM FP Equity,FR0013154002,Sartorius Stedim Biotech,EUR,362.2
TRN IM Equity,IT0003242622,Terna - Rete Elettrica Nazionale,EUR,6.52
RYA ID Equity,IE00BYTBXV33,Ryanair Holdings PLC,EUR,17.225
PSN LN Equity,GB0006825383,Persimmon PLC,GBp,2437
FGR FP Equity,FR0000130452,Eiffage SA,EUR,96.48
EDEN FP Equity,FR0010908533,Edenred,EUR,37.23
PUM GR Equity,DE0006969603,Puma SE,EUR,89.48
PNDORA DC Equity,DK0060252690,Pandora A/S,DKK,685.6
BRBY LN Equity,GB0031743007,Burberry Group PLC,GBp,1904
SKAB SS Equity,SE0000113250,Skanska AB,SEK,236.9
VIV FP Equity,FR0000127771,Vivendi SE,EUR,11.615
CON GR Equity,DE0005439004,Continental AG,EUR,88.4
GBLB BB Equity,BE0003797140,Groupe Bruxelles Lambert SA,EUR,92.98
ENR GR Equity,DE000ENER6Y0,Siemens Energy AG,EUR,19
SCHP SW Equity,CH0024638196,Schindler Holding AG,CHF,228.8
TEL NO Equity,NO0010063308,Telenor ASA,NOK,138.65
VACN SW Equity,CH0311864901,VAT Group AG,CHF,338.8
FBK IM Equity,IT0000072170,FinecoBank Banca Fineco SpA,EUR,15.225
TELIA SS Equity,SE0000667925,Telia Co AB,SEK,37.41
CBK GR Equity,DE000CBK1001,Commerzbank AG,EUR,8.914
BEI GR Equity,DE0005200000,Beiersdorf AG,EUR,88.1
PKO PW Equity,PLPKO0000016,Powszechna Kasa Oszczednosci Bank Polski SA,PLN,48.95
SCAB SS Equity,SE0000112724,Svenska Cellulosa AB SCA,SEK,162.1
AKE FP Equity,FR0010313833,Arkema SA,EUR,129.8
IMCD NA Equity,NL0010801007,IMCD NV,EUR,148.5
SGE LN Equity,GB00B8C3BL03,Sage Group PLC/The,GBp,691.6
HO FP Equity,FR0000121329,Thales SA,EUR,80.5
UU/ LN Equity,GB00B39J2M42,United Utilities Group PLC,GBp,1040
ALFA SS Equity,SE0000695876,Alfa Laval AB,SEK,288.2
ATL IM Equity,IT0003506190,Atlantia SpA,EUR,16.035
ABF LN Equity,GB0006731235,Associated British Foods PLC,GBp,1922.5
AGS BB Equity,BE0974264930,Ageas SA/NV,EUR,45.68
SVT LN Equity,GB00B1FH8J72,Severn Trent PLC,GBp,2806
ALO FP Equity,FR0010220475,Alstom SA,EUR,26.2
EXO IM Equity,NL0012059018,EXOR NV,EUR,70.72
LEG GR Equity,DE000LEG1110,LEG Immobilien SE,EUR,109.6
NEXI IM Equity,IT0005366767,Nexi SpA,EUR,12.75
OMV AV Equity,AT0000743059,OMV AG,EUR,55.04
ELISA FH Equity,FI0009007884,Elisa Oyj,EUR,51.98
KGF LN Equity,GB0033195214,Kingfisher PLC,GBp,308.2
HEIO NA Equity,NL0000008977,Heineken Holding NV,EUR,77.05
SOLB BB Equity,BE0003470755,Solvay SA,EUR,109.2
DCC LN Equity,IE0002424939,DCC PLC,GBp,6254
BDEV LN Equity,GB0000811801,Barratt Developments PLC,GBp,625.2
RAND NA Equity,NL0000379121,Randstad NV,EUR,61.5
MRO LN Equity,GB00BNR5MZ78,Melrose Industries PLC,GBp,154.25
GETIB SS Equity,SE0000202624,Getinge AB,SEK,359.1
TRYG DC Equity,DK0060636678,Tryg A/S,DKK,152.05
WTB LN Equity,GB00B1KJJ408,Whitbread PLC,GBp,3054
PRY IM Equity,IT0004176001,Prysmian SpA,EUR,27.67
KESKOB FH Equity,FI0009000202,Kesko Oyj,EUR,27.06
YAR NO Equity,NO0010208051,Yara International ASA,NOK,433.9
AUTO LN Equity,GB00BVYVFW23,Auto Trader Group PLC,GBp,641.6
RNO FP Equity,FR0000131906,Renault SA,EUR,34.905
URW NA Equity,FR0013326246,Unibail-Rodamco-Westfield,EUR,63.12
VIFN SW Equity,CH0364749348,Vifor Pharma AG,CHF,163.2
SMIN LN Equity,GB00B1WY2338,Smiths Group PLC,GBp,1541.5
UHR SW Equity,CH0012255151,Swatch Group AG/The,CHF,262.3
ABN NA Equity,NL0011540547,ABN AMRO Bank NV,EUR,15.264
REE SM Equity,ES0173093024,Red Electrica Corp SA,EUR,17.135
BARN SW Equity,CH0009002962,Barry Callebaut AG,CHF,2094
ADEN SW Equity,CH0012138605,Adecco Group AG,CHF,46.19
MGGT LN Equity,GB0005758098,Meggitt PLC,GBp,748.6
SKFB SS Equity,SE0000108227,SKF AB,SEK,191.15
ENX FP Equity,NL0006294274,Euronext NV,EUR,82.55
SW FP Equity,FR0000121220,Sodexo SA,EUR,81.82
BVI FP Equity,FR0006174348,Bureau Veritas SA,EUR,24.52
TEMN SW Equity,CH0012453913,Temenos AG,CHF,106.75
BALN SW Equity,CH0012410517,Baloise Holding AG,CHF,162.7
CHR DC Equity,DK0060227585,Chr Hansen Holding A/S,DKK,470.5
RMV LN Equity,GB00BGDT3G23,Rightmove PLC,GBp,638.2
MNG LN Equity,GB00BKFB1C65,M&G PLC,GBp,215.3
TKWY NA Equity,NL0012015705,Just Eat Takeaway.com NV,EUR,42.565
TW/ LN Equity,GB0008782301,Taylor Wimpey PLC,GBp,151.1
UMI BB Equity,BE0974320526,Umicore SA,EUR,32.47
LUNE SS Equity,SE0000825820,Lundin Energy AB,SEK,343.3
TEL2B SS Equity,SE0005190238,Tele2 AB,SEK,136.5
BIRG ID Equity,IE00BD1RP616,Bank of Ireland Group PLC,EUR,6.698
MOCORP FH Equity,FI0009014575,Metso Outotec Oyj,EUR,9.102
SPSN SW Equity,CH0008038389,Swiss Prime Site AG,CHF,87.5
GN DC Equity,DK0010272632,GN Store Nord AS,DKK,360.9
ICP LN Equity,GB00BYT1DJ19,Intermediate Capital Group PLC,GBp,1833
ORK NO Equity,NO0003733800,Orkla ASA,NOK,85.12
ABDN LN Equity,GB00BF8Q6K64,abrdn plc,GBp,244.9
AC FP Equity,FR0000120404,Accor SA,EUR,32.47
BALDB SS Equity,SE0000455057,Fastighets AB Balder,SEK,578.2
VER AV Equity,AT0000746409,Verbund AG,EUR,94.1
CAST SS Equity,SE0000379190,Castellum AB,SEK,209.8
LAND LN Equity,GB00BYW0PQ60,Land Securities Group PLC,GBp,779
ECM LN Equity,GB0003096442,Electrocomponents PLC,GBp,1061
SMDS LN Equity,GB0008220112,DS Smith PLC,GBp,364.6
G1A GR Equity,DE0006602006,GEA Group AG,EUR,41.47
GET FP Equity,FR0010533075,Getlink SE,EUR,13.925
MB IM Equity,IT0000062957,Mediobanca Banca di Credito Finanziario SpA,EUR,10.335
NTGY SM Equity,ES0116870314,Naturgy Energy Group SA,EUR,27.49
ASRNL NA Equity,NL0011872643,ASR Nederland NV,EUR,42.71
ELE SM Equity,ES0130670112,Endesa SA,EUR,18.795
LIGHT NA Equity,NL0011821392,Signify NV,EUR,46.39
STORB SS Equity,SE0016797732,Storskogen Group AB,SEK,38.98
SIGN SW Equity,CH0435377954,SIG Combibloc Group AG,CHF,19.17
CCH LN Equity,CH0198251305,Coca-Cola HBC AG,GBp,2465
ANTO LN Equity,GB0000456144,Antofagasta PLC,GBp,1255.5
EMSN SW Equity,CH0016440353,EMS-Chemie Holding AG,CHF,908.5
CPR IM Equity,NL0015435975,Davide Campari-Milano NV,EUR,10.715
SBRY LN Equity,GB00B019KW72,J Sainsbury PLC,GBp,283.5
PHNX LN Equity,GB00BGXQNP29,Phoenix Group Holdings PLC,GBp,668
INDT SS Equity,SE0001515552,Indutrade AB,SEK,222.6
BKG LN Equity,GB00BLJNXL82,Berkeley Group Holdings PLC,GBp,4113
KBX GR Equity,DE000KBX1006,Knorr-Bremse AG,EUR,87.64
KGX GR Equity,DE000KGX8881,KION Group AG,EUR,79.16
KINVB SS Equity,SE0015810247,Kinnevik AB,SEK,247.8
EVK GR Equity,DE000EVNK013,Evonik Industries AG,EUR,29.08
BME LN Equity,LU1072616219,B&M European Value Retail SA,GBp,550.6
HWDN LN Equity,GB0005576813,Howden Joinery Group PLC,GBp,769.4
BLND LN Equity,GB0001367019,British Land Co PLC/The,GBp,537.8
SBBB SS Equity,SE0009554454,Samhallsbyggnadsbolaget i Norden AB,SEK,48.47
HL/ LN Equity,GB00B1VZ0M25,Hargreaves Lansdown PLC,GBp,1320
PSON LN Equity,GB0006776081,Pearson PLC,GBp,622
ACS SM Equity,ES0167050915,ACS Actividades de Construccion y Servicios SA,EUR,22.25
TRELB SS Equity,SE0000114837,Trelleborg AB,SEK,228.5
TEN IM Equity,LU0156801721,Tenaris SA,EUR,11.405
CNA LN Equity,GB00B033F229,Centrica PLC,GBp,78.3
FR FP Equity,FR0013176526,Valeo,EUR,25.57
AT1 GR Equity,LU1673108939,Aroundtown SA,EUR,5.394
JD/ LN Equity,GB00BM8Q5M07,JD Sports Fashion PLC,GBp,178.95
SOF BB Equity,BE0003717312,Sofina SA,EUR,343.4
GFC FP Equity,FR0010040865,Gecina SA,EUR,110.05
TOM NO Equity,NO0005668905,TOMRA Systems ASA,NOK,423.5
ALLFG NA Equity,GB00BNTJ3546,Allfunds Group Plc,EUR,12.662
EO FP Equity,FR0000121147,Faurecia SE,EUR,39.94
PST IM Equity,IT0003796171,Poste Italiane SpA,EUR,10.975
BESI NA Equity,NL0012866412,BE Semiconductor Industries NV,EUR,71.18
PEO PW Equity,PLPEKAO00016,Bank Polska Kasa Opieki SA,PLN,137.1
SCR FP Equity,FR0010411983,SCOR SE,EUR,30.32
WRT1V FH Equity,FI0009003727,Wartsila OYJ Abp,EUR,10.405
WEIR LN Equity,GB0009465807,Weir Group PLC/The,GBp,1661
SDR LN Equity,GB0002405495,Schroders PLC,GBp,3342
BIM FP Equity,FR0013280286,BioMerieux,EUR,102.55
DPH LN Equity,GB0009633180,Dechra Pharmaceuticals PLC,GBp,3894
AALB NA Equity,NL0000852564,Aalberts NV,EUR,52.8
UBI FP Equity,FR0000054470,Ubisoft Entertainment SA,EUR,50.12
GALP PL Equity,PTGAL0AM0009,Galp Energia SGPS SA,EUR,9.888
IMI LN Equity,GB00BGLP8L22,IMI PLC,GBp,1639
FI-N SW Equity,CH0001752309,Georg Fischer AG,CHF,1245
AFX GR Equity,DE0005313704,Carl Zeiss Meditec AG,EUR,133.2
JMT PL Equity,PTJMT0AE0001,Jeronimo Martins SGPS SA,EUR,20.19
ITV LN Equity,GB0033986497,ITV PLC,GBp,115
SXS LN Equity,GB0003308607,Spectris PLC,GBp,3338
SAB SM Equity,ES0113860A34,Banco de Sabadell SA,EUR,0.9002
AVST LN Equity,GB00BDD85M81,Avast PLC,GBp,624.2
NEM GR Equity,DE0006452907,Nemetschek SE,EUR,76.9
HUSQB SS Equity,SE0001662230,Husqvarna AB,SEK,122.1
PKN PW Equity,PLPKN0000018,Polski Koncern Naftowy ORLEN SA,PLN,71.62
IAG LN Equity,ES0177542018,International Consolidated Airlines Group SA,GBp,166.12
BEAN SW Equity,CH1101098163,Belimo Holding AG,CHF,485
TECN SW Equity,CH0012100191,Tecan Group AG,CHF,411.4
REC IM Equity,IT0003828271,Recordati Industria Chimica e Farmaceutica SpA,EUR,46.09
SINCH SS Equity,SE0016101844,Sinch AB,SEK,92.6
LI FP Equity,FR0000121964,Klepierre SA,EUR,22.6
SAGAB SS Equity,SE0005127818,Sagax AB,SEK,249
RXL FP Equity,FR0010451203,Rexel SA,EUR,19.675
PSPN SW Equity,CH0018294154,PSP Swiss Property AG,CHF,106
